,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
139,1,4,1,1,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
140,2,5,1,2,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
144,2,5,2,3,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77
145,6,5,2,4,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9
149,8,6,1,4,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12
150,6,5,3,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
152,3,4,4,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
153,5,4,1,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
154,1,5,1,6,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46
155,7,4,2,7,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
156,2,4,1,6,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
158,2,4,2,3,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
159,7,4,1,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69
161,6,4,2,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
163,8,6,1,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
164,8,5,1,7,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01
166,6,5,2,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29
167,6,5,2,3,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
169,8,6,2,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55
170,5,4,1,3,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
172,7,4,2,7,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74
173,4,4,1,2,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
174,1,4,2,6,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5
175,1,4,2,6,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53
177,2,5,2,7,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
178,2,5,1,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
179,8,6,2,1,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23
180,1,3,1,7,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33
183,7,4,5,2,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83
184,8,6,2,5,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
185,2,5,1,1,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04
187,1,5,1,2,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3
191,2,5,2,4,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68
193,4,5,1,3,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41
195,2,5,2,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
197,4,5,1,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06
198,3,4,1,1,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
200,1,5,1,1,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
203,8,6,5,3,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7
205,4,5,1,4,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57
207,7,5,1,1,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2
208,6,5,1,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
209,8,3,1,4,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
210,4,4,5,6,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
212,7,4,1,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
216,4,4,1,7,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48
217,1,3,1,2,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32
218,4,5,1,3,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72
220,8,6,2,7,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
242,2,4,2,7,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13
244,2,4,2,7,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87
245,3,4,2,7,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76
246,5,4,2,7,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09
247,2,4,2,3,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
249,3,4,2,3,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
250,8,5,2,3,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
