,COUNTRY,AREA_HA,BROADLEAVED,CONIFER,MIXED,SCLEROPHYLLOUS,TRANSITIONAL,OTHERNATLC,AGRIAREAS,ARTIFSURF,OTHERLC,%NAT2000,A1,X1,X2_3,B1,B2,B3,C1,C2,C3,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E6,E7,F1,F2,F3,F4,F5,F6,F7,F8,F9,FB,G1,G2,G3,G4,G5,H2,H3,H4,H5,I1,I2,J1,J2,J3,J4,J5,J6,Total,percentage
0,AL,446651,50264.46814892383,16217.65389479535,12731.118394585672,70066.5602521692,109978.16037139151,157516.7971167967,28124.060534722834,1171.2472504959085,576.9340359018096,174.59512748642362,4890.0,260.0,12740.0,1700.0,0.0,0.0,47640.0,5430.0,650.0,0.0,0.0,0.0,0.0,2350.0,590.0,254180.00000000003,209850.0,35530.0,35570.0,0.0,509.99999999999994,0.0,21390.0,7830.0,0.0,133780.0,0.0,350.0,0.0,0.0,14940.0,1096770.0,43410.0,63640.0,132740.0,166660.0,18010.0,45980.0,0.0,67420.0,369690.0,540.0,27670.0,46580.0,4590.0,4010.0,1100.0,30.0,2879000.0,15.514102118791248
1,AT,2889,26.19116465853889,707.7570246576789,130.9031622263775,0.0,253.7424099275369,538.803011110443,1200.1141611192368,27.58208955221822,3.9069767441837695,2117.0467810553027,0.0,0.0,0.0,0.0,0.0,0.0,51870.00000000001,24110.0,140.0,610.0,1160.0,0.0,810.0,13130.000000000002,0.0,109570.0,958750.0,15390.0,583060.0,710.0,0.0,0.0,312290.0,28689.999999999996,0.0,0.0,0.0,0.0,0.0,0.0,43110.0,1085480.0,0.0,1828850.0,1050520.0,29989.999999999996,1010.0,265860.0,35190.0,3840.0,1466670.0,35040.0,167960.0,229950.0,11100.0,38010.0,1450.0,70.0,8394390.0,0.034415842008770146
2,BA,689896,97907.95653832477,4648.423198768973,5986.76376632104,123299.9049686507,112553.36674390214,276113.6374070089,68488.87459755172,649.4060852181649,245.666694028561,0.0,0.0,0.0,0.0,380.0,0.0,0.0,15590.0,11460.0,2500.0,930.0000000000001,0.0,0.0,0.0,1910.0000000000002,0.0,305680.0,710770.0,18800.0,16119.999999999998,0.0,0.0,0.0,14469.999999999998,6090.0,30.0,75470.0,0.0,0.0,0.0,0.0,6210.0,2380420.0,0.0,382990.0,350230.0,189420.0,880.0000000000001,18710.0,50.0,43600.0,448489.99999999994,1120.0,49990.0,53520.00000000001,8220.0,3450.0,2010.0000000000002,590.0,5120080.0,13.474320713738846
3,BE,4033,33.95358376921465,134.58248242937537,56.961148848722964,0.0,790.0559566775964,2979.363927651556,8.03055405043329,0.99999999999946,29.05234657039187,3923.286817479665,2650.0,1450.0,0.0,380.0,0.0,0.0,10620.0,9070.0,10.0,3629.9999999999995,1750.0,0.0,100.0,650.0,20.0,8870.0,813880.0,12570.0,0.0,0.0,0.0,0.0,0.0,8570.0,30.0,0.0,0.0,0.0,0.0,20.0,7840.000000000001,349870.0,0.0,209430.00000000003,162030.0,14450.0,819.9999999999999,10.0,0.0,160.0,808450.0,30850.0,236019.99999999997,311190.0,9080.0,51870.00000000001,1670.0,350.0,3068350.0,0.13143872113676733
4,BG,283228,35225.469967007426,2337.458459754703,3239.6493171756633,0.0,42101.818212884624,48105.89050399818,149566.92952040836,1841.7143213421543,807.0696972813989,126049.00483877181,0.0,0.0,700.0,1050.0,0.0,40.0,61400.0,30130.0,1340.0,0.0,30.0,0.0,220.00000000000003,7409.999999999999,0.0,470220.0,999760.0,304790.0,56820.00000000001,15340.0,1070.0,0.0,25710.000000000004,5050.0,6630.0,2960.0,0.0,0.0,0.0,220.00000000000003,140520.0,3144220.0,20.0,687150.0,365700.0,324540.0,3120.0,15150.0,0.0,16060.0,3879310.0,20110.0,243669.99999999997,210000.0,31389.999999999996,22900.0,2900.0,1850.0,11099490.0,2.5517208448316095
5,CH,424,99.71428571404012,58.41095890404926,30.28571428555573,0.0,151.58904109575872,76.99999999970389,5.99999999999294,0.99999999999615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140170.0,8310.0,1019.9999999999999,0.0,10.0,0.0,150.0,1340.0,0.0,135220.0,356940.0,41370.0,410570.0,0.0,0.0,0.0,173380.0,16880.0,80.0,0.0,0.0,0.0,0.0,0.0,11150.0,407090.0,20.0,666740.0,301400.0,10860.0,2020.0,386420.0,118550.0,3450.0,638970.0,13519.999999999998,120880.0,131380.0,3700.0,27130.0,130.0,0.0,4128830.0000000005,0.010269253032941534
6,CY,37177,138.2707056083439,3713.092770913026,0.0,12101.87539299489,3488.294736258835,6496.479080865972,10753.20840266488,473.7657841858733,11.01312649164546,4478.350509172807,1980.0,0.0,0.0,7100.0,0.0,550.0,2039.9999999999998,30.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,22170.0,45110.0,10010.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,104880.0,0.0,0.0,0.0,0.0,21650.0,14930.000000000002,5540.0,195560.0,17070.0,20220.0,2530.0,910.0,0.0,11830.0,355440.0,8270.0,33720.0,32060.000000000004,3329.9999999999995,7409.999999999999,0.0,60.0,924810.0,4.019960856824645
7,CZ,4206,102.94497612857518,1476.2901720210928,470.7480266725982,0.0,372.0081400980078,876.6921294610917,821.5103867852017,85.8061688309861,0.0,3397.043261723598,0.0,0.0,0.0,0.0,0.0,0.0,58450.0,11160.0,100.0,1270.0,3340.0,0.0,100.0,620.0,0.0,32230.0,1193860.0,9420.0,4630.0,30.0,0.0,0.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39150.0,844579.9999999999,0.0,1338620.0,705920.0,56790.0,40.0,140.0,0.0,140.0,2953500.0,46490.0,336610.0,186570.0,23910.0,33110.0,2120.0,2560.0,7887389.999999999,0.05332562482646351
8,DE,14245,485.28388655451636,4282.331725566634,341.09960226339575,0.0,3382.9636530892344,4756.090978230703,724.8664567938928,269.36369747858527,0.0,10044.402373523155,331520.0,37130.0,113330.0,4260.0,0.0,0.0,341870.0,92200.0,1490.0,57060.0,19520.0,0.0,2480.0,26770.0,430.0,138270.0,5768650.0,957810.0,24440.0,0.0,0.0,0.0,12390.0,33460.0,1000.0,0.0,0.0,0.0,0.0,110.00000000000001,168700.0,4578350.0,0.0,4510420.0,2362520.0,130220.0,11260.0,11360.0,40.0,3160.0,12381890.0,366090.0,2113430.0,1167970.0,116420.0,295540.0,24830.0,4470.0,36210860.0,0.03933902702117542
9,DK,3408,56.44497942380243,49.44823803631482,57.530932634802156,0.0,703.7100237831086,1613.2675771581685,920.1499730937024,7.44827586205612,0.0,2242.213216501293,89010.0,0.0,50450.0,6040.0,0.0,0.0,44810.0,380.0,740.0,11420.0,6630.0,0.0,3650.0,5140.0,40.0,35920.0,267140.0,66470.0,0.0,0.0,0.0,0.0,0.0,33920.0,4860.0,0.0,0.0,0.0,0.0,0.0,1650.0,205280.00000000003,0.0,183130.0,113470.0,42650.0,1880.0,30.0,0.0,70.0,2814890.0,64470.00000000001,166510.0,157820.0,5790.0,30760.000000000004,80.0,210.0,4415280.0,0.07718649779855412
